#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:44:39 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244503a49	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/15&tab:{VIII/15/pkscat90}&tab:{VIII/15/refs}&key:source=VIII/15&HTTPPRM:&&-ref=VIZ51f244503a49&-file=.&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=Bname&-out=Alias&-out=RAB1950&-out=DEB1950&-out=Ident&-out=z&-out=S80&-out=S178&-out=S408&-out=S635&-out=S1410&-out=S2700&-out=S5000&-out=Jname&-out=errPos&-out=r_z&-out=Ref&-out=BibCode&-out=Authors&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/15/pkscat90,VIII/15/refs
#-order=I
#-out=Bname
#-out=Alias
#-out=RAB1950
#-out=DEB1950
#-out=Ident
#-out=z
#-out=S80
#-out=S178
#-out=S408
#-out=S635
#-out=S1410
#-out=S2700
#-out=S5000
#-out=Jname
#-out=errPos
#-out=r_z
#-out=Ref
#-out=BibCode
#-out=Authors
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_8015
#Name: VIII/15
#Title: Parkes Radio Sources Catalogue (PKSCAT90) (Wright+ 1990)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_15_pkscat90:
#Name: VIII/15/pkscat90
#Title: The Catalogue
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Bname	(a10)	B1950 source name	[ucd=meta.id;meta.main]
#Column	Alias	(a7)	Alias/other catalogue names	[ucd=meta.id]
#Column	RAB1950	(A10)	Right Ascension B1950.0 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination B1950.0 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	Ident	(A4)	Identification of source (1)	[ucd=src.class]
#Column	z	(F6.3)	? Redshift (reference in r_z)	[ucd=src.redshift]
#Column	S80	(F8.3)	? Flux density at 80 MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	S178	(F8.3)	? Flux density at 178 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	S408	(F8.3)	? Flux density at 408 MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	S635	(F8.3)	? Flux density at 635 MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	S1410	(F8.3)	? Flux density at 1410 MHz (21cm)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	S2700	(F8.3)	? Flux density at 2700 MHz (11cm)	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S5000	(F8.3)	? Flux density at 5000 MHz (6cm)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	Jname	(a11)	J2000 Name	[ucd=meta.id]
#Column	errPos	(F5.2)	? positional accuracy in arcsec. (to be read as "better than")	[ucd=stat.error]
#Column	r_z	(a20)	Comma-separated references for z (see file refs.dat)	[ucd=meta.ref]
_RAJ2000	_DEJ2000	Bname	Alias	RAB1950	DEB1950	Ident	z	S80	S178	S408	S635	S1410	S2700	S5000	Jname	errPos	r_z
00 04 14.8	-52 54 39	B0001-531 	       	00 01 42.2	-53 11 21	E   	      	        	        	   1.250	        	        	   0.520	   0.280	J0004-5254 	20.00	
00 04 20.6	-55 46 38	B0001-560 	       	00 01 48.2	-56 03 20	Xg  	      	        	        	   1.630	        	        	   0.420	   0.290	J0004-5546 	20.00	
00 04 51.9	+12 48 41	B0002+125 	4C12.02	00 02 17.9	+12 31 59	G   	      	  18.000	        	        	   3.920	   1.880	   0.800	   0.740	J0004+1248 	20.00	
00 05 17.0	-16 48 03	B0002-170 	       	00 02 43.6	-17 04 45	Q?  	      	        	        	        	        	        	   0.140	   0.160	J0005-1648 	20.00	
00 05 01.4	-19 48 06	B0002-200 	       	00 02 28.0	-20 04 48	Xs  	      	        	        	        	        	        	   0.140	        	J0005-1948 	20.00	
00 04 35.7	-47 36 20	B0002-478 	       	00 02 03.0	-47 53 02	Q   	      	        	        	        	        	        	   0.630	   0.550	J0004-4736 	 0.50	
00 05 24.8	-57 51 51	B0002-581 	       	00 02 53.0	-58 08 33	Xs  	      	        	        	   1.400	        	        	   0.350	   0.170	J0005-5751 	20.00	
00 06 06.0	+00 54 00	B0003+006 	       	00 03 32.2	+00 37 18	X   	      	        	        	        	        	        	   0.260	   0.160	J0006+0053 	20.00	
00 06 00.3	+16 09 36	B0003+158 	4C15.01	00 03 26.1	+15 52 54	Q   	 0.450	   9.000	   4.300	   2.250	        	   0.900	   0.590	   0.340	J0006+1609 	20.00	s68,sbb77
00 05 41.8	+19 51 04	B0003+195 	4C19.01	00 03 07.6	+19 34 22	Xs  	      	   7.000	   3.600	   1.200	        	   0.900	   0.400	   0.280	J0005+1951 	20.00	
00 06 22.7	-00 04 24	B0003-003 	3C2    	00 03 48.9	-00 21 06	Q   	 1.037	  23.000	  13.200	  10.500	   6.300	   3.700	   2.460	   1.430	J0006-0004 	 0.50	
00 05 45.7	-00 34 44	B0003-008 	       	00 03 12.0	-00 51 26	X   	      	        	        	        	        	        	   0.070	        	J0005-0034 	20.00	
00 06 10.7	-01 41 11	B0003-019 	4C-2.01	00 03 37.0	-01 57 53	Xs  	      	        	   2.500	        	        	        	   0.060	        	J0006-0141 	20.00	
00 05 59.0	-06 11 46	B0003-064 	       	00 03 25.4	-06 28 28	Q?  	      	        	        	   1.420	        	        	   0.290	   0.110	J0005-0611 	20.00	
00 06 13.9	-06 23 35	B0003-066 	OB-006 	00 03 40.3	-06 40 17	G   	 0.347	        	        	   2.130	        	   1.530	   1.460	   1.580	J0006-0623 	 0.15	
00 05 56.3	-27 59 04	B0003-282 	       	00 03 23.3	-28 15 46	Xs  	      	        	        	        	        	        	   0.210	        	J0005-2759 	20.00	
00 06 03.1	-29 56 19	B0003-302 	       	00 03 30.1	-30 13 01	Xs  	      	        	        	        	        	        	   0.160	        	J0006-2956 	20.00	
00 05 52.8	-35 21 52	B0003-356 	       	00 03 20.0	-35 38 34	Xs  	      	        	        	   0.840	        	        	   0.100	        	J0005-3521 	20.00	
00 06 18.5	-40 44 38	B0003-410 	       	00 03 46.0	-41 01 20	X   	      	        	        	        	        	        	   0.200	        	J0006-4044 	20.00	
00 06 00.5	-42 35 36	B0003-428 	00-42  	00 03 28.0	-42 52 18	Q   	 1.850	  10.000	        	   5.150	        	   2.080	   1.020	   0.540	J0006-4235 	20.00	
00 06 18.2	-42 47 03	B0003-430 	       	00 03 45.8	-43 03 45	Xs  	      	        	        	        	        	        	   0.190	        	J0006-4247 	20.00	
00 05 58.8	-50 02 18	B0003-503 	       	00 03 26.7	-50 19 00	Xs  	      	        	        	        	        	        	   0.200	        	J0005-5002 	20.00	
00 05 33.9	-54 28 01	B0003-547 	       	00 03 01.9	-54 44 43	Xs  	      	        	        	   1.710	        	        	   0.320	   0.150	J0005-5428 	20.00	
00 05 57.7	-56 28 30	B0003-567 	00-51  	00 03 26.0	-56 45 12	G   	      	        	        	   5.190	        	   2.000	   1.080	   0.640	J0005-5628 	 1.00	
00 05 52.1	-62 55 58	B0003-632 	       	00 03 21.0	-63 12 40	Xs  	      	        	        	   1.440	        	        	   0.200	        	J0005-6255 	20.00	
00 06 05.7	-83 06 18	B0003-833 	       	00 03 44.0	-83 23 00	G   	      	        	        	   6.620	        	   2.120	   1.120	   0.840	J0006-8306 	20.00	
00 07 28.2	+22 03 55	B0004+217 	       	00 04 53.7	+21 47 13	Q?  	      	   5.000	   4.100	        	   1.600	   0.600	   0.480	   0.250	J0007+2203 	20.00	
00 07 16.0	+00 15 30	B0004-000 	       	00 04 42.2	-00 01 12	Xs  	      	        	        	        	        	        	   0.070	        	J0007+0015 	20.00	
00 07 30.4	-00 48 30	B0004-010 	       	00 04 56.7	-01 05 12	E   	      	        	        	        	        	        	   0.080	        	J0007-0048 	20.00	
00 06 52.2	-52 59 21	B0004-532 	       	00 04 20.6	-53 16 03	Xs  	      	        	        	        	        	        	   0.230	        	J0006-5259 	20.00	
00 07 14.7	-59 53 59	B0004-601 	       	00 04 44.0	-60 10 41	    	      	        	        	   0.900	        	        	   0.190	        	J0007-5953 	20.00	
00 06 43.6	-69 09 28	B0004-694 	       	00 04 14.1	-69 26 10	Xs  	      	        	        	   1.340	        	        	   0.210	        	J0006-6909 	20.00	
00 07 43.8	+02 26 33	B0005+021 	       	00 05 10.0	+02 09 51	G?  	      	        	        	        	        	        	   0.110	        	J0007+0226 	20.00	
00 08 29.3	-05 58 45	B0005-062 	4C-6.01	00 05 55.8	-06 15 27	N   	      	   9.000	   8.200	   4.710	        	   1.200	   0.680	   0.330	J0008-0558 	10.00	
00 08 30.9	-14 20 04	B0005-146 	       	00 05 57.7	-14 36 46	Xs  	      	        	        	   1.510	        	        	   0.330	   0.240	J0008-1420 	20.00	
00 08 16.7	-19 39 48	B0005-199 	OB-109 	00 05 43.7	-19 56 30	E   	      	        	        	   1.320	        	        	   0.450	   0.250	J0008-1939 	20.00	
00 08 00.4	-23 39 18	B0005-239 	PHL6304	00 05 27.5	-23 56 00	Q   	 1.410	        	        	        	        	        	   0.580	   0.530	J0008-2339 	 0.50	wjp77,ww76a
00 08 26.2	-25 59 11	B0005-262 	OB-210 	00 05 53.5	-26 15 53	G   	      	        	        	        	        	        	   0.580	   0.580	J0008-2559 	 0.50	
00 08 13.1	-59 07 44	B0005-594 	       	00 05 42.7	-59 24 26	Xs  	      	        	        	   1.700	        	        	   0.250	   0.160	J0008-5907 	20.00	
00 08 50.8	+01 42 39	B0006+014 	       	00 06 17.0	+01 25 57	Q   	 1.302	        	        	        	        	        	   0.090	        	J0008+0142 	20.00	wl78
00 09 19.6	-07 36 51	B0006-078 	       	00 06 46.2	-07 53 33	Xg  	      	        	        	        	        	        	   0.190	        	J0009-0736 	20.00	
00 08 38.6	-17 09 59	B0006-174 	OB-110 	00 06 05.5	-17 26 41	Xs  	      	        	        	   1.040	        	        	   0.140	        	J0008-1709 	20.00	
00 09 05.6	-20 56 16	B0006-212 	OB-211 	00 06 32.7	-21 12 58	Xs  	      	        	        	   1.180	        	        	   0.300	   0.190	J0009-2056 	20.00	
00 09 25.4	-31 46 10	B0006-320 	       	00 06 53.1	-32 02 52	Xs  	      	        	        	   1.330	        	        	   0.170	        	J0009-3146 	20.00	
00 08 33.9	-36 00 58	B0006-362 	       	00 06 01.7	-36 17 40	Xs  	      	        	        	        	        	        	   0.230	        	J0008-3600 	20.00	
00 09 17.9	-45 03 22	B0006-453 	       	00 06 46.5	-45 20 04	    	      	        	        	   1.330	        	        	   0.160	        	J0009-4503 	20.00	
00 08 58.1	-46 13 27	B0006-465 	       	00 06 26.7	-46 30 09	    	      	        	        	        	        	        	   0.130	        	J0008-4613 	20.00	
00 09 58.7	+01 57 53	B0007+016 	       	00 07 24.9	+01 41 11	Q?  	      	        	        	        	        	        	   0.200	   0.120	J0009+0157 	20.00	
00 10 32.0	+10 58 11	B0007+106 	IIIZw2 	00 07 57.7	+10 41 30	G   	 0.089	        	        	        	        	        	        	   0.470	J0010+1058 	 3.00	
00 09 52.5	+12 44 41	B0007+124 	4C12.03	00 07 18.2	+12 27 59	E3  	      	  23.000	   7.600	   4.450	        	   1.900	   1.000	   0.600	J0009+1244 	20.00	
00 10 34.0	+17 24 18	B0007+171 	OB113  	00 07 59.4	+17 07 37	Q   	 1.601	        	        	   0.740	        	        	   0.910	   1.190	J0010+1724 	 0.15	sbb77,ww76a
00 09 58.0	-28 29 58	B0007-287 	OB-212 	00 07 25.6	-28 46 40	Xs  	      	        	        	   1.130	        	        	   0.260	   0.130	J0009-2829 	20.00	
00 09 36.6	-32 16 54	B0007-325 	       	00 07 04.4	-32 33 36	E   	      	        	        	   0.760	        	        	   0.480	   0.350	J0009-3216 	20.00	
00 10 00.5	-43 39 26	B0007-439 	       	00 07 29.2	-43 56 08	X   	      	        	        	   2.030	        	        	   0.280	   0.160	J0010-4339 	20.00	
00 10 29.8	-44 22 55	B0007-446 	00-43  	00 07 58.7	-44 39 37	X   	      	  23.000	        	   6.810	        	   1.920	   0.820	   0.360	J0010-4422 	20.00	
00 10 00.8	-57 01 07	B0007-572 	       	00 07 31.0	-57 17 49	E   	      	        	        	        	        	        	   0.320	   0.170	J0010-5701 	20.00	
00 09 39.1	-58 05 00	B0007-583 	       	00 07 09.3	-58 21 42	Xs  	      	        	        	        	        	        	   0.190	        	J0009-5805 	20.00	
00 10 11.3	-68 51 34	B0007-691 	       	00 07 44.3	-69 08 16	Xs  	      	        	        	        	        	        	   0.250	   0.210	J0010-6851 	20.00	
00 10 52.2	-00 20 01	B0008-006 	       	00 08 18.5	-00 36 42	X   	      	        	        	        	        	        	   0.100	        	J0010-0020 	20.00	
00 11 14.1	-03 02 16	B0008-033 	       	00 08 40.5	-03 18 57	Xs  	      	        	        	   0.940	        	        	   0.210	   0.110	J0011-0302 	20.00	
00 10 45.2	-06 03 50	B0008-063 	4C-6.02	00 08 11.7	-06 20 31	Xg  	      	        	   3.000	   1.300	        	   0.400	   0.250	   0.180	J0010-0603 	20.00	
00 10 38.8	-18 59 33	B0008-192 	       	00 08 06.0	-19 16 15	X   	      	        	        	   1.130	        	        	   0.180	   0.110	J0010-1859 	20.00	
00 10 53.7	-21 57 07	B0008-222 	OB-213 	00 08 21.1	-22 13 49	X   	      	        	        	        	        	        	   0.380	   0.390	J0010-2157 	10.00	
00 11 01.3	-26 12 33	B0008-264 	OB-214 	00 08 28.9	-26 29 15	Q   	 1.096	        	        	        	        	        	   0.670	   0.810	J0011-2612 	 0.02	
00 10 46.3	-29 45 00	B0008-300 	       	00 08 14.1	-30 01 42	Q   	      	        	        	        	        	        	   0.380	   0.270	J0010-2945 	20.00	
00 10 36.6	-30 27 31	B0008-307 	       	00 08 04.4	-30 44 13	Xs  	      	        	        	        	        	        	   0.310	   0.270	J0010-3027 	20.00	
00 11 15.4	-31 49 45	B0008-321 	       	00 08 43.5	-32 06 27	Xg  	      	        	        	   1.250	        	        	   0.190	        	J0011-3149 	20.00	
00 10 52.5	-41 53 08	B0008-421 	       	00 08 21.3	-42 09 50	G?  	      	        	        	   6.610	   6.550	   4.440	   2.490	   1.310	J0010-4153 	 0.15	
00 11 15.3	-71 31 15	B0008-717 	       	00 08 50.4	-71 47 57	Xs  	      	        	        	        	        	        	   0.160	        	J0011-7131 	20.00	
00 12 25.3	-18 48 06	B0009-190 	OB-117 	00 09 52.7	-19 04 47	Xs  	      	        	        	   1.510	        	        	   0.230	        	J0012-1848 	20.00	
00 11 53.5	-32 14 52	B0009-325 	       	00 09 21.7	-32 31 33	Xs  	      	        	        	   0.890	        	        	   0.160	        	J0011-3214 	20.00	
00 12 19.1	-33 21 52	B0009-336 	       	00 09 47.5	-33 38 33	Xg  	      	        	        	   2.990	        	        	   0.390	   0.180	J0012-3321 	20.00	
00 12 20.9	-41 08 31	B0009-414 	       	00 09 50.0	-41 25 12	Xs  	      	        	        	   1.340	        	        	   0.370	   0.150	J0012-4108 	20.00	
00 11 58.4	-84 04 55	B0009-843 	       	00 09 56.1	-84 21 36	Xs  	      	        	        	        	        	        	   0.080	        	J0011-8404 	20.00	
00 13 10.9	+00 51 44	B0010+005 	4C00.01	00 10 37.1	+00 35 03	X   	      	  16.000	   6.700	   4.660	   3.100	   1.600	   0.940	   0.500	J0013+0051 	10.00	
00 13 17.5	+20 45 08	B0010+204 	       	00 10 42.4	+20 28 27	Xs  	      	        	        	        	        	   0.900	   0.620	   0.240	J0013+2045a	20.00	
00 12 38.9	+27 02 29	B0010+267 	       	00 10 03.5	+26 45 48	Xs  	      	   7.000	        	        	   2.000	   0.500	   0.400	   0.240	J0012+2702 	20.00	
00 13 00.9	-04 38 58	B0010-049 	       	00 10 27.4	-04 55 39	Xs  	      	        	        	        	        	        	   0.120	        	J0013-0438 	20.00	
00 12 57.3	-39 54 31	B0010-401 	       	00 10 26.4	-40 11 12	X   	      	        	        	        	        	        	   0.210	        	J0012-3954 	20.00	
00 12 40.4	-40 33 29	B0010-408 	       	00 10 09.5	-40 50 10	Q   	      	        	        	        	        	        	   0.310	   0.230	J0012-4033 	20.00	
00 13 19.3	-56 10 10	B0010-564 	       	00 10 50.8	-56 26 51	G   	      	        	        	   1.740	        	        	   0.410	   0.230	J0013-5610 	10.00	
00 12 07.0	-83 45 09	B0010-840 	       	00 10 03.4	-84 01 50	Xg  	      	        	        	   0.730	        	        	   0.090	        	J0012-8345 	20.00	
00 12 10.6	-87 06 12	B0010-873 	       	00 10 46.2	-87 22 53	Xs  	      	        	        	        	        	        	   0.110	        	J0012-8706 	20.00	
00 14 01.1	+05 45 09	B0011+054 	4C05.03	00 11 27.0	+05 28 28	X   	      	        	   6.900	   3.930	        	        	   0.700	   0.370	J0014+0545 	20.00	
00 13 55.4	+20 45 32	B0011+204 	4C20.01	00 11 20.3	+20 28 51	Xs  	      	   8.000	   5.300	        	        	   0.700	   0.310	   0.230	J0013+2045b	20.00	
00 14 23.6	-02 05 49	B0011-023 	       	00 11 50.0	-02 22 30	Xs  	      	        	        	        	        	        	   0.240	        	J0014-0205 	20.00	
00 13 54.1	-04 23 52	B0011-046 	       	00 11 20.6	-04 40 33	Q?  	      	        	        	        	        	        	   0.210	   0.410	J0013-0423 	20.00	
00 13 57.4	-09 19 57	B0011-096 	OB-019 	00 11 24.3	-09 36 38	Xs  	      	        	        	   2.250	        	        	   0.400	   0.260	J0013-0919 	20.00	
00 14 16.3	-15 35 45	B0011-158 	       	00 11 43.6	-15 52 26	Xs  	      	        	        	        	        	        	   0.140	        	J0014-1535 	20.00	
00 13 42.1	-30 08 56	B0011-304 	       	00 11 10.5	-30 25 37	Xs  	      	        	        	        	        	        	   0.130	        	J0013-3008 	20.00	
00 13 37.7	-32 25 57	B0011-327 	       	00 11 06.2	-32 42 38	Xg  	      	        	        	        	        	        	   0.110	        	J0013-3225 	20.00	
00 15 03.4	-00 34 59	B0012-008 	       	00 12 29.7	-00 51 39	E   	      	        	        	        	        	        	   0.170	   0.120	J0015-0034 	20.00	
00 15 14.5	-08 17 00	B0012-085 	       	00 12 41.3	-08 33 40	Xs  	      	        	        	   0.850	        	        	   0.150	        	J0015-0816 	20.00	
00 14 56.4	-09 59 08	B0012-102 	       	00 12 23.3	-10 15 49	Xs  	      	        	        	   1.170	        	        	   0.220	        	J0014-0959 	20.00	
00 15 02.4	-18 12 47	B0012-184 	OB-121 	00 12 30.0	-18 29 28	Q?  	      	        	        	        	        	        	   0.480	   0.420	J0015-1812 	10.00	
00 14 39.9	-30 59 57	B0012-312 	       	00 12 08.5	-31 16 38	Xs  	      	        	        	        	        	        	   0.140	        	J0014-3059 	20.00	
