#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2003-03-21T14:31:10
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml6766

#RESOURCE=41310303   
#Name: J/A+AS/131/303   
#Title:	GHz-Peaked-Spectrum radio sources (Stanghellini+ 1998)   
#Table	J_A_AS_131_303_table4:      
#Name: J/A+AS/131/303/table4     
#Title:	Flux densities for the complete sample               
#Column	Name	(A8)	       Source Name (1)        (link)          
#Column	nu	(F6)	       Frequency          
#Column	Snu	(F6)	       Flux density          
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     

Name    |nu GHz|Snu Jy|recno  
0316+161| 1.380| 7.830|      50
0316+161| 1.630| 7.240|      51
0316+161| 2.300| 5.340|      52
0316+161| 3.900| 3.610|      53
0316+161| 4.815| 2.960|      54
0316+161| 4.865| 2.910|      55
0316+161| 7.700| 1.790|      56
0316+161| 8.435| 1.700|      57
0316+161| 8.485| 1.690|      58
0316+161|11.200| 1.160|      59
0316+161|22.460| 0.570|      60

0428+205| 0.325| 2.630|      61
0428+205| 0.408| 2.920|      62
0428+205| 0.635| 3.960|      63
0428+205| 0.968| 4.070|      64
0428+205| 1.380| 3.700|      65
0428+205| 1.630| 3.620|      66
0428+205| 4.815| 2.320|      67
0428+205| 4.865| 2.300|      68
0428+205| 8.435| 1.710|      69
0428+205| 8.485| 1.710|      70
0428+205|22.460| 0.960|      71

0457+024| 0.408| 0.330|      73
0457+024| 0.960| 1.400|      74
0457+024| 1.335| 1.740|      75
0457+024| 1.665| 1.840|      76
0457+024| 2.300| 1.970|      77
0457+024| 4.535| 1.650|      78
0457+024| 4.985| 1.570|      79
0457+024| 8.085| 1.190|      80
0457+024| 8.465| 1.150|      81

0500+019| 0.325| 0.471|      82
0500+019| 0.365| 0.628|      83
0500+019| 0.606| 1.310|      84
0500+019| 0.960| 1.810|      85
0500+019| 1.380| 2.230|      86
0500+019| 1.640| 2.310|      87
0500+019| 2.300| 2.260|      88
0500+019| 3.900| 2.150|      89
0500+019| 4.860| 1.890|      90
0500+019| 8.870| 1.350|      91
0500+019|11.200| 1.230|      92
0500+019|43.000| 0.330|      93

0710+439| 0.325| 0.560|      94
0710+439| 0.365| 0.655|      95
0710+439| 0.408| 0.750|      96
0710+439| 0.608| 1.270|      97
0710+439| 1.380| 1.940|      98
0710+439| 1.630| 1.950|      99
0710+439| 4.816| 1.680|     100
0710+439| 4.866| 1.670|     101
0710+439| 8.434| 1.280|     102
0710+439| 8.484| 1.280|     103
0710+439|22.460| 0.660|     104

0738+313| 0.302| 0.640|     105
0738+313| 0.333| 0.730|     106
0738+313| 0.608| 1.150|     107
0738+313| 1.335| 1.930|     108
0738+313| 1.665| 2.300|     109
0738+313| 4.535| 3.670|     110
0738+313| 4.985| 3.660|     111
0738+313| 8.085| 3.450|     112
0738+313| 8.465| 3.410|     113
0738+313|43.000| 0.943|     114

0742+103| 0.302| 1.230|     115
0742+103| 0.333| 1.320|     116
0742+103| 1.335| 3.310|     117
0742+103| 1.665| 3.690|     118
0742+103| 2.695| 3.920|     119
0742+103| 4.535| 3.610|     120
0742+103| 4.985| 3.460|     121
0742+103| 8.085| 2.760|     122
0742+103| 8.465| 2.690|     123
0742+103|20.000| 1.440|     124
0742+103|37.000| 1.000|     125

0743-006| 0.302| 0.310|     126
0743-006| 0.333| 0.380|     127
0743-006| 1.335| 0.700|     128
0743-006| 1.665| 0.810|     129
0743-006| 2.700| 1.400|     130
0743-006| 4.535| 1.990|     131
0743-006| 4.985| 2.050|     132
0743-006| 8.085| 1.970|     133
0743-006| 8.465| 1.930|     134
0743-006|20.000| 0.990|     135

0941-080| 0.302| 3.230|     136
0941-080| 0.333| 3.330|     137
0941-080| 0.960| 3.160|     138
0941-080| 1.335| 2.710|     139
0941-080| 1.665| 2.430|     140
0941-080| 2.300| 1.900|     141
0941-080| 3.900| 1.410|     142
0941-080| 4.535| 1.200|     143
0941-080| 4.985| 1.100|     144
0941-080| 7.700| 0.738|     145
0941-080| 8.085| 0.691|     146
0941-080| 8.465| 0.657|     147
0941-080|11.200| 0.550|     148

1031+567| 0.151| 0.780|     149
1031+567| 0.325| 1.360|     150
1031+567| 0.408| 1.500|     151
1031+567| 0.608| 1.590|     152
1031+567| 1.380| 1.780|     153
1031+567| 1.630| 1.780|     154
1031+567| 4.816| 1.280|     155
1031+567| 4.866| 1.270|     156
1031+567| 8.434| 0.820|     157
1031+567| 8.484| 0.810|     158

1117+146| 0.302| 3.580|     159
1117+146| 0.333| 3.730|     160
1117+146| 0.365| 3.820|     161
1117+146| 0.960| 2.960|     162
1117+146| 1.335| 2.460|     163
1117+146| 1.665| 2.210|     164
1117+146| 2.300| 1.670|     165
1117+146| 3.900| 1.240|     166
1117+146| 4.535| 1.020|     167
1117+146| 4.985| 1.000|     168
1117+146| 7.700| 0.700|     169
1117+146| 8.085| 0.642|     170
1117+146| 8.465| 0.613|     171
1117+146|11.200| 0.510|     172

1127-145| 0.302| 4.170|     173
1127-145| 0.333| 4.510|     174
1127-145| 1.335| 5.570|     175
1127-145| 1.665| 5.440|     176
1127-145| 4.535| 4.010|     177
1127-145| 4.985| 3.820|     178
1127-145| 8.085| 3.100|     179
1127-145| 8.465| 3.030|     180
1127-145|14.940| 2.090|     181
1127-145|20.000| 1.770|     182

1143-245| 1.335| 1.518|     185
1143-245| 1.665| 1.654|     186
1143-245| 4.535| 1.470|     187
1143-245| 4.985| 1.400|     188
1143-245| 8.085| 1.030|     189
1143-245| 8.465| 0.990|     190

1245-197| 0.302| 7.800|     191
1245-197| 0.325| 7.860|     192
1245-197| 0.333| 8.220|     193
1245-197| 0.365| 8.890|     194
1245-197| 0.408| 8.610|     195
1245-197| 1.335| 5.210|     196
1245-197| 1.665| 4.630|     197
1245-197| 4.535| 2.480|     198
1245-197| 4.985| 2.310|     199
1245-197| 8.085| 1.510|     200
1245-197| 8.465| 1.450|     201

1323+321| 0.151| 3.780|     202
1323+321| 0.318| 6.320|     203
1323+321| 0.408| 7.020|     204
1323+321| 0.608| 6.470|     205
1323+321| 1.380| 4.880|     206
1323+321| 1.630| 4.450|     207
1323+321| 4.816| 2.350|     208
1323+321| 4.866| 2.350|     209
1323+321| 8.435| 1.630|     210
1323+321| 8.485| 1.630|     211

1345+125| 0.178| 4.600|     212
1345+125| 0.302| 7.860|     213
1345+125| 0.333| 8.390|     214
1345+125| 0.365| 8.310|     215
1345+125| 0.408| 8.780|     216
1345+125| 1.335| 5.330|     217
1345+125| 1.665| 4.840|     218
1345+125| 4.535| 3.180|     219
1345+125| 4.985| 3.030|     220
1345+125| 8.085| 2.280|     221
1345+125| 8.465| 2.210|     222
1345+125|20.000| 1.130|     223

1358+624| 0.151| 1.710|     224
1358+624| 0.302| 4.790|     225
1358+624| 0.333| 5.240|     226
1358+624| 0.365| 5.560|     227
1358+624| 0.608| 5.900|     228
1358+624| 1.335| 4.490|     229
1358+624| 1.665| 3.880|     230
1358+624| 4.535| 1.940|     231
1358+624| 4.985| 1.800|     232
1358+624| 8.085| 1.250|     233
1358+624| 8.465| 1.200|     234

1404+286| 1.380| 0.790|     238
1404+286| 1.630| 1.020|     239
1404+286| 2.300| 1.650|     240
1404+286| 2.695| 2.000|     241
1404+286| 3.900| 2.520|     242
1404+286| 4.816| 2.640|     243
1404+286| 4.866| 2.660|     244
1404+286| 8.434| 1.950|     245
1404+286| 8.484| 1.940|     246
1404+286|11.200| 1.480|     247
1404+286|22.460| 0.490|     248

1442+101| 0.302| 1.610|     249
1442+101| 0.333| 1.820|     250
1442+101| 0.608| 2.240|     251
1442+101| 0.960| 2.530|     252
1442+101| 1.335| 2.500|     253
1442+101| 1.665| 2.350|     254
1442+101| 2.300| 1.830|     255
1442+101| 3.900| 1.340|     256
1442+101| 4.535| 1.300|     257
1442+101| 4.985| 1.190|     258
1442+101| 7.700| 0.700|     259
1442+101| 8.085| 0.760|     260
1442+101| 8.465| 0.720|     261
1442+101|11.200| 0.462|     262

1518+047| 0.178| 2.200|     263
1518+047| 0.365| 3.404|     264
1518+047| 0.608| 4.050|     265
1518+047| 0.960| 4.720|     266
1518+047| 1.380| 3.980|     267
1518+047| 1.640| 3.530|     268
1518+047| 3.900| 1.460|     269
1518+047| 4.815| 1.060|     270
1518+047| 4.865| 1.050|     271
1518+047| 8.435| 0.478|     272
1518+047| 8.485| 0.480|     273
1518+047|11.100| 0.305|     274

1600+335| 0.151| 2.170|     275
1600+335| 0.302| 2.460|     276
1600+335| 0.333| 2.450|     277
1600+335| 0.365| 2.470|     278
1600+335| 1.335| 3.050|     279
1600+335| 1.665| 3.110|     280
1600+335| 4.535| 2.750|     281
1600+335| 4.985| 2.670|     282
1600+335| 8.085| 2.220|     283
1600+335| 8.465| 2.170|     284
1600+335|20.000| 1.020|     285

1607+268| 0.318| 2.020|     286
1607+268| 0.365| 2.530|     287
1607+268| 0.408| 2.950|     288
1607+268| 0.635| 4.510|     289
1607+268| 0.750| 5.160|     290
1607+268| 1.380| 4.860|     291
1607+268| 1.630| 4.420|     292
1607+268| 4.816| 1.720|     293
1607+268| 4.866| 1.710|     294
1607+268| 8.434| 0.960|     295
1607+268| 8.484| 0.960|     296

2008-068| 0.325| 1.050|     298
2008-068| 0.365| 1.350|     299
2008-068| 0.608| 1.950|     300
2008-068| 1.380| 2.620|     301
2008-068| 1.630| 2.480|     302
2008-068| 4.816| 1.340|     303
2008-068| 4.866| 1.340|     304
2008-068| 8.434| 0.840|     305
2008-068| 8.484| 0.780|     306
2008-068|22.460| 0.370|     307

2126-158| 1.335| 0.559|     309
2126-158| 1.665| 0.680|     310
2126-158| 4.535| 1.180|     311
2126-158| 4.985| 1.170|     312
2126-158| 8.085| 1.030|     313
2126-158| 8.465| 1.010|     314
2126-158|90.000| 0.310|     315

2128+048| 0.302| 3.010|     316
2128+048| 0.333| 3.560|     317
2128+048| 0.365| 3.670|     318
2128+048| 0.408| 4.110|     319
2128+048| 0.635| 5.100|     320
2128+048| 0.950| 4.950|     321
2128+048| 1.335| 4.080|     322
2128+048| 1.665| 3.730|     323
2128+048| 2.650| 3.160|     324
2128+048| 3.900| 2.500|     325
2128+048| 4.535| 2.160|     326
2128+048| 4.985| 2.020|     327
2128+048| 8.085| 1.370|     328
2128+048| 8.465| 1.310|     329
2128+048|14.940| 0.820|     330
2128+048|31.400| 0.430|     331

2134+004| 0.302| 0.600|     332
2134+004| 0.333| 0.660|     333
2134+004| 1.335| 3.250|     334
2134+004| 1.665| 4.620|     335
2134+004| 4.535| 8.610|     336
2134+004| 4.985| 8.500|     337
2134+004| 8.085| 7.400|     338
2134+004| 8.465| 7.250|     339
2134+004|20.000| 4.990|     340
2134+004|43.000| 2.920|     341
2134+004|87.000| 1.740|     342

2210+016| 0.302| 4.230|     343
2210+016| 0.333| 4.530|     344
2210+016| 0.365| 4.540|     345
2210+016| 0.408| 4.650|     346
2210+016| 0.960| 3.170|     347
2210+016| 1.335| 2.840|     348
2210+016| 1.665| 2.450|     349
2210+016| 2.300| 1.770|     350
2210+016| 3.900| 1.260|     351
2210+016| 4.535| 1.150|     352
2210+016| 4.985| 1.050|     353
2210+016| 7.700| 0.660|     354
2210+016| 8.085| 0.650|     355
2210+016| 8.465| 0.620|     356
2210+016|11.200| 0.450|     357

2342+821| 0.151| 3.640|     358
2342+821| 0.302| 5.770|     359
2342+821| 0.325| 5.900|     360
2342+821| 0.333| 5.910|     361
2342+821| 0.609| 5.700|     362
2342+821| 1.335| 3.900|     363
2342+821| 1.665| 3.280|     364
2342+821| 4.535| 1.410|     365
2342+821| 4.985| 1.280|     366

2352+495| 0.151| 1.450|     367
2352+495| 0.325| 2.500|     368
2352+495| 0.408| 2.610|     369
2352+495| 0.608| 2.820|     370
2352+495| 0.966| 2.660|     371
2352+495| 1.380| 2.590|     372
2352+495| 1.630| 2.430|     373
2352+495| 4.816| 1.480|     374
2352+495| 4.866| 1.470|     375
2352+495| 8.434| 1.070|     376
2352+495| 8.484| 1.060|     377
2352+495|22.460| 0.683|     378
  
