#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:49:57 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244583b40	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VIII/16&tab:{VIII/16/mrcj2000}&key:source=VIII/16&HTTPPRM:&-out.max=20&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/16/mrcj2000
#-order=I
#-out=MRC
#-out=RAB1950
#-out=DEB1950
#-out=RA2000
#-out=DE2000
#-out=S408
#-out=e_S408
#-out=n_S408
#-out=Mflag
#-out=Cflag
#

#RESOURCE=yCat_8016
#Name: VIII/16
#Title: Molonglo Reference Catalogue of Radio Sources (Large+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_16_mrcj2000:
#Name: VIII/16/mrcj2000
#Title: Catalog Data
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	MRC	(a9)	Recommended IAU name of the source based on B1950 equinox.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Right ascension in B1950 equinox	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	DEC in degrees in B1950 equinox	[ucd=pos.eq.dec;meta.main]
#Column	RA2000	(A10)	Right ascension in J2000 equinox (Converted from B1950 using the STARLINK program COCO)	[ucd=pos.eq.ra]
#Column	DE2000	(A9)	DEC in J2000 equinox	[ucd=pos.eq.dec]
#Column	S408	(F7.2)	Flux density	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.2)	Standard error	[ucd=stat.error]
#Column	n_S408	(A1)	[*] scattering flag (1)	[ucd=meta.note]
#Column	Mflag	(A3)	[ AECMN] *Morphology flags	[ucd=meta.code]
#Column	Cflag	(A3)	[ CJMPRST] Cross-reference flags.	[ucd=meta.code]
_RAJ2000	_DEJ2000	MRC	RAB1950	DEB1950	RA2000	DE2000	S408	e_S408	n_S408	Mflag	Cflag
00 05 19.3	-66 49 32	0002-671 	00 02 48.3	-67 06 14	00 05 19.3	-66 49 32	   0.89	 0.11	 	   	
00 05 24.7	-57 51 55	0002-581 	00 02 52.9	-58 08 37	00 05 24.7	-57 51 55	   1.40	 0.08	 	   	 P
00 05 35.1	-54 28 16	0003-547 	00 03 03.1	-54 44 58	00 05 35.1	-54 28 16	   1.71	 0.09	 	   	 P
00 05 52.9	-35 21 45	0003-356 	00 03 20.1	-35 38 27	00 05 52.9	-35 21 45	   0.84	 0.16	 	   	 P
00 05 52.8	-62 55 41	0003-632 	00 03 21.7	-63 12 23	00 05 52.8	-62 55 41	   1.44	 0.08	 	   	 P
00 05 53.9	-64 51 41	0003-651 	00 03 23.0	-65 08 23	00 05 53.9	-64 51 41	   1.00	 0.13	 	   	
00 05 59.1	+16 09 38	0003+158 	00 03 24.9	+15 52 56	00 05 59.1	+16 09 38	   2.25	 0.08	 	   	 P
00 05 59.1	-06 11 46	0003-064 	00 03 25.5	-06 28 28	00 05 59.1	-06 11 46	   1.42	 0.05	 	   	 P
00 05 57.8	-56 28 21	0003-567 	00 03 26.1	-56 45 03	00 05 57.8	-56 28 21	   5.19	 0.23	 	   	 P
00 06 02.2	-42 34 41	0003-428 	00 03 29.7	-42 51 23	00 06 02.2	-42 34 41	   5.15	 0.16	 	   	 P
00 06 13.7	-06 23 32	0003-066 	00 03 40.1	-06 40 14	00 06 13.7	-06 23 32	   2.13	 0.15	 	   	 P
00 06 16.7	+17 12 26	0003+169 	00 03 42.5	+16 55 44	00 06 16.7	+17 12 26	   0.79	 0.06	 	   	
00 06 22.7	-00 04 27	0003-003 	00 03 48.9	-00 21 09	00 06 22.7	-00 04 27	  10.45	 1.26	 	   	 P
00 06 14.4	-83 05 54	0003-833 	00 03 53.1	-83 22 36	00 06 14.5	-83 05 54	   6.62	 0.31	 	E  	JP
00 06 30.8	-12 53 18	0003-131 	00 03 57.4	-13 10 00	00 06 30.8	-12 53 18	   0.90	 0.08	 	   	
00 06 40.9	-69 09 52	0004-694 	00 04 11.3	-69 26 34	00 06 40.9	-69 09 52	   1.34	 0.08	 	   	 P
00 06 46.8	+06 51 15	0004+065 	00 04 12.8	+06 34 33	00 06 46.8	+06 51 15	   1.46	 0.05	 	C  	
00 07 07.5	+05 36 09	0004+053 	00 04 33.6	+05 19 27	00 07 07.5	+05 36 09	   2.06	 0.10	 	   	
00 07 11.1	-59 53 27	0004-601 	00 04 40.3	-60 10 09	00 07 11.1	-59 53 27	   0.90	 0.07	 	   	 P
00 07 39.5	-64 05 55	0005-643 	00 05 09.6	-64 22 37	00 07 39.5	-64 05 55	   1.69	 0.09	 	   	
00 08 06.9	-05 32 52	0005-058 	00 05 33.3	-05 49 34	00 08 06.9	-05 32 52	   0.89	 0.07	 	   	
00 08 16.6	-19 39 58	0005-199 	00 05 43.6	-19 56 40	00 08 16.6	-19 39 58	   1.32	 0.06	 	A  	 P
00 08 16.6	-59 07 46	0005-594 	00 05 46.3	-59 24 28	00 08 16.6	-59 07 46	   1.70	 0.09	 	   	 P
00 08 29.4	-05 58 50	0005-062 	00 05 55.9	-06 15 32	00 08 29.4	-05 58 50	   4.71	 0.18	 	   	 P
00 08 31.2	-14 19 56	0005-146 	00 05 58.0	-14 36 38	00 08 31.2	-14 19 56	   1.51	 0.06	 	   	 P
00 08 38.7	-17 10 42	0006-174 	00 06 05.6	-17 27 24	00 08 38.7	-17 10 42	   1.04	 0.05	 	   	 P
00 09 06.2	-20 56 36	0006-212 	00 06 33.3	-21 13 18	00 09 06.2	-20 56 36	   1.18	 0.05	 	   	 P
00 09 18.9	+04 57 56	0006+046 	00 06 44.9	+04 41 14	00 09 18.9	+04 57 55	   0.92	 0.07	 	   	
00 09 17.5	-45 03 35	0006-453 	00 06 46.1	-45 20 17	00 09 17.5	-45 03 35	   1.33	 0.06	 	   	 P
00 09 19.8	-07 40 57	0006-079 	00 06 46.4	-07 57 39	00 09 19.8	-07 40 58	   0.80	 0.05	 	   	
00 09 24.6	-31 46 11	0006-320 	00 06 52.3	-32 02 53	00 09 24.6	-31 46 11	   1.33	 0.08	 	   	 P
00 09 36.9	-32 16 51	0007-325 	00 07 04.7	-32 33 33	00 09 36.9	-32 16 51	   0.76	 0.06	 	   	 P
00 09 52.2	+12 44 09	0007+124 	00 07 17.9	+12 27 27	00 09 52.2	+12 44 08	   4.45	 0.20	 	   	 P
00 09 57.9	-28 29 33	0007-287 	00 07 25.5	-28 46 15	00 09 57.9	-28 29 34	   1.13	 0.07	 	   	 P
00 09 54.1	-71 37 50	0007-719 	00 07 28.0	-71 54 32	00 09 54.1	-71 37 50	   0.84	 0.07	 	   	
00 10 03.4	-43 39 19	0007-439 	00 07 32.1	-43 56 01	00 10 03.4	-43 39 19	   2.03	 0.07	 	   	 P
00 10 05.0	-39 27 45	0007-397 	00 07 33.4	-39 44 27	00 10 05.0	-39 27 45	   0.84	 0.07	 	   	
00 10 33.8	+17 24 24	0007+171 	00 07 59.2	+17 07 43	00 10 33.8	+17 24 24	   0.74	 0.14	 	   	 P
00 10 30.8	-44 22 59	0007-446 	00 07 59.7	-44 39 41	00 10 30.8	-44 23 00	   6.81	 0.21	 	   	 P
00 10 38.4	-18 59 33	0008-192 	00 08 05.6	-19 16 15	00 10 38.4	-18 59 34	   1.13	 0.04	 	   	 P
00 10 38.7	-32 25 12	0008-326 	00 08 06.7	-32 41 54	00 10 38.7	-32 25 13	   0.89	 0.05	 	   	
00 10 45.3	-06 03 44	0008-063 	00 08 11.8	-06 20 25	00 10 45.3	-06 03 44	   1.30	 0.06	 	   	 P
00 10 52.4	-41 53 19	0008-421 	00 08 21.2	-42 10 01	00 10 52.4	-41 53 20	   6.61	 0.21	 	   	 P
00 11 08.0	+17 29 59	0008+172 	00 08 33.3	+17 13 18	00 11 08.0	+17 29 59	   0.99	 0.05	 	   	
00 11 12.2	-02 59 31	0008-032 	00 08 38.6	-03 16 12	00 11 12.2	-02 59 31	   0.94	 0.05	 	   	
00 11 13.9	-31 50 26	0008-321 	00 08 41.9	-32 07 08	00 11 13.9	-31 50 27	   1.25	 0.05	 	   	 P
00 11 35.4	+08 23 48	0009+081 	00 09 01.2	+08 07 07	00 11 35.4	+08 23 48	   1.40	 0.09	 	   	
00 11 53.4	-32 14 59	0009-325 	00 09 21.6	-32 31 40	00 11 53.4	-32 14 59	   0.89	 0.05	 	   	 P
00 12 08.1	+04 10 27	0009+038 	00 09 34.1	+03 53 46	00 12 08.1	+04 10 27	   0.71	 0.06	 	   	
00 12 13.4	+06 10 18	0009+058 	00 09 39.3	+05 53 37	00 12 13.4	+06 10 18	   1.22	 0.08	 	   	
00 12 18.1	+18 43 19	0009+184 	00 09 43.3	+18 26 38	00 12 18.2	+18 43 19	   0.90	 0.07	 	   	
00 12 18.3	-33 21 56	0009-336 	00 09 46.7	-33 38 37	00 12 18.3	-33 21 56	   2.99	 0.14	 	   	 P
00 12 20.8	-41 09 07	0009-414 	00 09 49.9	-41 25 48	00 12 20.8	-41 09 07	   1.34	 0.08	 	   	 P
00 12 25.3	-18 48 01	0009-190 	00 09 52.7	-19 04 42	00 12 25.4	-18 48 01	   1.51	 0.05	 	   	 P
00 12 28.0	-18 35 26	0009-188 	00 09 55.3	-18 52 07	00 12 28.0	-18 35 26	   0.86	 0.04	 	   	
00 12 04.6	-83 43 35	0010-840 	00 10 00.8	-84 00 16	00 12 04.7	-83 43 35	   0.73	 0.06	 	   	 P
00 12 38.6	-71 31 27	0010-718 	00 10 14.9	-71 48 08	00 12 38.6	-71 31 27	   0.73	 0.05	 	   	
00 13 10.8	+00 51 39	0010+005 	00 10 37.0	+00 34 58	00 13 10.8	+00 51 39	   4.66	 0.21	 	   	 P
00 13 17.7	-56 10 24	0010-564 	00 10 49.2	-56 27 05	00 13 17.7	-56 10 24	   1.74	 0.22	 	   	 P
00 13 34.0	+11 29 04	0010+112 	00 10 59.5	+11 12 23	00 13 34.0	+11 29 04	   0.99	 0.06	 	   	
00 13 33.8	-09 38 14	0011-099 	00 11 00.7	-09 54 55	00 13 33.9	-09 38 14	   0.76	 0.06	 	   	
00 13 57.1	-09 19 55	0011-096 	00 11 24.0	-09 36 36	00 13 57.2	-09 19 55	   2.25	 0.07	 	   	 P
00 14 01.4	+05 45 04	0011+054 	00 11 27.3	+05 28 23	00 14 01.4	+05 45 03	   3.93	 0.18	 	   	 P
00 14 03.3	-23 38 31	0011-239 	00 11 31.2	-23 55 12	00 14 03.3	-23 38 31	   0.93	 0.07	 	   	
00 14 19.5	+08 53 56	0011+086 	00 11 45.2	+08 37 15	00 14 19.6	+08 53 55	   0.78	 0.06	 	   	
00 14 25.6	-02 06 09	0011-023 	00 11 52.0	-02 22 50	00 14 25.6	-02 06 10	   1.14	 0.04	 	   	
00 14 23.0	-73 39 04	0012-739 	00 12 02.5	-73 55 45	00 14 23.0	-73 39 04	   0.98	 0.04	 	   	 P
00 14 52.7	+13 59 39	0012+137 	00 12 18.0	+13 42 59	00 14 52.7	+13 59 39	   1.79	 0.11	 	   	
00 14 55.0	-09 59 18	0012-102 	00 12 21.9	-10 15 59	00 14 55.0	-09 59 19	   1.17	 0.05	 	   	 P
00 14 54.5	-53 43 43	0012-540 	00 12 26.2	-54 00 24	00 14 54.5	-53 43 43	   0.97	 0.07	 	   	 P
00 15 08.2	+08 28 04	0012+081 	00 12 33.8	+08 11 24	00 15 08.2	+08 28 04	   0.84	 0.07	 	   	
00 15 12.2	+11 25 28	0012+111 	00 12 37.6	+11 08 48	00 15 12.2	+11 25 28	   1.45	 0.05	 	   	
00 15 14.5	-08 16 40	0012-085 	00 12 41.3	-08 33 20	00 15 14.5	-08 16 40	   0.85	 0.04	 	   	 P
00 15 24.2	-38 04 40	0012-383 	00 12 53.7	-38 21 21	00 15 24.2	-38 04 41	   4.87	 0.14	 	   	 P
00 15 21.8	-69 50 54	0012-701 	00 12 59.4	-70 07 35	00 15 21.8	-69 50 55	   1.46	 0.08	 	   	 P
00 16 00.1	-19 29 20	0013-197 	00 13 27.9	-19 46 00	00 16 00.1	-19 29 20	   2.21	 0.11	 	   	 P
00 16 07.2	-42 17 31	0013-425 	00 13 37.4	-42 34 11	00 16 07.2	-42 17 31	   1.27	 0.10	 	   	 P
00 16 11.1	-00 15 06	0013-005 	00 13 37.4	-00 31 46	00 16 11.1	-00 15 06	   1.09	 0.07	 	   	 P
00 16 02.8	-63 10 06	0013-634 	00 13 37.6	-63 26 46	00 16 02.8	-63 10 06	   6.90	 0.17	 	   	 P
00 16 12.8	-31 23 32	0013-316 	00 13 41.7	-31 40 12	00 16 12.8	-31 23 32	   1.36	 0.06	 	   	 P
00 16 20.1	-14 30 11	0013-147 	00 13 47.5	-14 46 51	00 16 20.1	-14 30 11	   2.98	 0.10	 	E  	 P
00 16 22.8	-10 30 58	0013-107 	00 13 49.9	-10 47 38	00 16 22.8	-10 30 58	   0.74	 0.06	 	   	
00 16 24.9	+13 31 11	0013+132 	00 13 50.1	+13 14 31	00 16 24.9	+13 31 11	   1.68	 0.09	 	   	
00 16 27.6	-51 17 55	0013-515 	00 13 59.4	-51 34 35	00 16 27.6	-51 17 55	   1.12	 0.05	 	   	
00 16 36.6	-38 26 43	0014-387 	00 14 06.4	-38 43 23	00 16 36.6	-38 26 43	   2.22	 0.07	 	   	 P
00 16 49.6	-19 00 31	0014-192 	00 14 17.4	-19 17 11	00 16 49.6	-19 00 31	   0.88	 0.05	 	   	
00 17 03.0	-20 59 17	0014-212 	00 14 31.0	-21 15 57	00 17 03.0	-20 59 17	   0.85	 0.07	 	   	 P
00 17 08.3	-12 56 30	0014-132 	00 14 35.6	-13 13 10	00 17 08.3	-12 56 30	   3.12	 0.10	 	   	 P
00 17 18.1	-30 54 36	0014-311 	00 14 47.2	-31 11 16	00 17 18.2	-30 54 36	   0.96	 0.07	 	M  	J
00 17 27.0	-31 59 46	0014-322 	00 14 56.2	-32 16 26	00 17 27.0	-31 59 46	   0.89	 0.07	 	   	
00 17 38.0	+18 09 18	0015+178 	00 15 02.7	+17 52 38	00 17 38.0	+18 09 17	   3.27	 0.15	 	   	 P
00 17 38.0	+06 40 58	0015+064 	00 15 03.7	+06 24 18	00 17 38.0	+06 40 57	   0.75	 0.06	 	   	
00 17 44.6	+16 51 13	0015+165 	00 15 09.4	+16 34 33	00 17 44.6	+16 51 12	   1.52	 0.06	 	   	
00 17 42.5	-30 50 10	0015-311 	00 15 11.6	-31 06 50	00 17 42.5	-30 50 10	   0.90	 0.07	 	M  	J
00 17 56.2	-17 48 51	0015-180 	00 15 24.0	-18 05 31	00 17 56.2	-17 48 51	   0.86	 0.06	 	   	
00 17 58.3	-22 38 02	0015-229 	00 15 26.6	-22 54 42	00 17 58.3	-22 38 02	   1.11	 0.06	 	   	
00 18 22.0	-11 11 44	0015-114 	00 15 49.2	-11 28 24	00 18 22.0	-11 11 45	   0.96	 0.05	 	   	
00 18 31.4	+16 20 34	0015+160 	00 15 56.2	+16 03 55	00 18 31.4	+16 20 34	   0.80	 0.05	 	   	
00 18 34.0	-06 28 10	0016-067 	00 16 00.8	-06 44 49	00 18 34.0	-06 28 10	   0.71	 0.06	 	   	
00 18 23.6	-76 44 32	0016-770 	00 16 11.4	-77 01 12	00 18 23.6	-76 44 32	   1.09	 0.07	 	M  	J
00 18 47.6	-02 33 49	0016-028 	00 16 14.1	-02 50 28	00 18 47.6	-02 33 49	   0.97	 0.05	 	   	
00 18 51.4	-12 42 39	0016-129 	00 16 18.8	-12 59 18	00 18 51.4	-12 42 39	   6.87	 0.30	 	   	 P
00 18 55.9	+09 39 57	0016+093 	00 16 21.3	+09 23 18	00 18 55.9	+09 39 57	   1.44	 0.08	 	   	
00 18 54.3	-13 50 03	0016-141 	00 16 21.8	-14 06 42	00 18 54.3	-13 50 03	   1.07	 0.05	 	   	
00 18 49.5	-51 14 55	0016-515 	00 16 22.2	-51 31 35	00 18 49.6	-51 14 56	   2.17	 0.06	 	   	 P
00 18 51.8	-49 29 52	0016-497 	00 16 24.1	-49 46 32	00 18 51.8	-49 29 53	   0.75	 0.06	 	   	
00 18 59.4	-10 22 53	0016-106 	00 16 26.6	-10 39 32	00 18 59.4	-10 22 53	   3.55	 0.10	 	   	 P
00 19 12.7	+08 40 59	0016+084 	00 16 38.2	+08 24 20	00 19 12.8	+08 40 59	   1.56	 0.09	 	   	
00 19 13.7	-12 10 00	0016-124 	00 16 41.1	-12 26 39	00 19 13.7	-12 10 00	   1.38	 0.08	 	   	 P
00 19 32.0	-04 35 48	0016-048 	00 16 58.7	-04 52 27	00 19 32.0	-04 35 48	   2.30	 0.08	 	   	 P
00 19 32.5	-71 00 17	0017-712 	00 17 14.4	-71 16 56	00 19 32.5	-71 00 17	   0.75	 0.06	 	   	
00 19 45.7	-36 02 00	0017-363 	00 17 15.9	-36 18 39	00 19 45.7	-36 02 00	   0.90	 0.04	 	   	 P
00 19 46.0	-49 22 04	0017-496 	00 17 18.6	-49 38 43	00 19 46.1	-49 22 04	   1.28	 0.04	 	   	 P
00 19 47.7	-41 19 53	0017-416 	00 17 18.7	-41 36 32	00 19 47.7	-41 19 53	   0.83	 0.10	 	   	 P
00 19 52.8	-31 20 25	0017-316 	00 17 22.4	-31 37 04	00 19 52.9	-31 20 25	   0.82	 0.07	 	   	 P
00 19 39.7	-76 40 14	0017-769 	00 17 29.0	-76 56 53	00 19 39.7	-76 40 14	   1.41	 0.06	 	M  	J
00 20 03.8	-40 50 46	0017-411 	00 17 34.8	-41 07 25	00 20 03.8	-40 50 46	   0.80	 0.10	 	   	 P
00 20 08.4	-32 07 01	0017-323 	00 17 38.1	-32 23 40	00 20 08.4	-32 07 01	   0.90	 0.07	 	   	 P
00 20 15.0	-13 22 57	0017-136 	00 17 42.6	-13 39 36	00 20 15.0	-13 22 57	   0.88	 0.06	 	   	
00 20 21.8	-02 33 08	0017-028 	00 17 48.3	-02 49 47	00 20 21.8	-02 33 08	   2.40	 0.07	 	   	
00 20 24.9	+15 40 55	0017+154 	00 17 49.6	+15 24 16	00 20 24.9	+15 40 54	   7.79	 0.32	 	   	 P
00 20 21.8	-20 28 51	0017-207 	00 17 50.1	-20 45 30	00 20 21.8	-20 28 51	   1.25	 0.08	 	   	 P
00 20 22.7	-48 47 08	0017-490 	00 17 55.3	-49 03 47	00 20 22.7	-48 47 08	   2.39	 0.05	 	   	 P
00 20 27.0	-20 14 29	0017-205 	00 17 55.3	-20 31 08	00 20 27.0	-20 14 29	   1.96	 0.10	 	   	 P
00 20 41.4	-11 21 00	0018-116 	00 18 08.8	-11 37 39	00 20 41.4	-11 21 00	   0.90	 0.05	 	   	 P
00 20 50.5	-08 57 37	0018-092 	00 18 17.7	-09 14 16	00 20 50.6	-08 57 38	   3.10	 0.07	 	   	 P
00 20 53.8	+08 12 25	0018+079 	00 18 19.2	+07 55 46	00 20 53.8	+08 12 24	   0.71	 0.06	 	   	
00 20 56.3	+05 33 19	0018+052 	00 18 22.0	+05 16 40	00 20 56.3	+05 33 18	   1.78	 0.09	 	   	
00 20 57.1	-24 50 54	0018-251 	00 18 26.0	-25 07 33	00 20 57.1	-24 50 54	   0.72	 0.06	 	   	
00 20 57.6	-43 51 22	0018-441 	00 18 29.4	-44 08 01	00 20 57.6	-43 51 22	   0.79	 0.06	 	   	
00 21 02.9	-41 16 05	0018-415 	00 18 34.2	-41 32 44	00 21 02.9	-41 16 05	   1.09	 0.07	 	   	 P
00 21 13.0	-19 10 37	0018-194 	00 18 41.3	-19 27 16	00 21 13.0	-19 10 38	   2.72	 0.10	 	C  	 PS
00 21 25.3	-00 55 43	0018-012 	00 18 51.6	-01 12 21	00 21 25.3	-00 55 43	   2.02	 0.14	 	E  	 P
00 21 30.8	-46 57 52	0019-472 	00 19 03.4	-47 14 31	00 21 30.8	-46 57 53	   1.82	 0.06	 	   	 P
00 21 55.3	-12 34 20	0019-128 	00 19 22.9	-12 50 58	00 21 55.3	-12 34 20	   1.19	 0.08	 	   	
00 21 58.4	-26 19 08	0019-265 	00 19 27.6	-26 35 46	00 21 58.4	-26 19 08	   0.90	 0.07	 	   	
00 22 08.8	-10 41 35	0019-109 	00 19 36.2	-10 58 13	00 22 08.8	-10 41 35	   1.13	 0.05	 	   	 P
