#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-04-23T11:42:36 [V1.99+ (14-Oct-2013)]
#   In case of problem; please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5357a5593063	
#INFO	-out.max=200	
#INFO	queryParameters=17	
#-oc.form=dec
#-order=I
#-nav=cat:J/A+A/386/97&tab:{J/A+A/386/97/tablea1}&key:source=J/A+A/386/97/tablea1&HTTPPRM:&&-ref=VIZ5357a5593063&-file=-c&-order=I&-oc.form=sexa&-out.src=J/A+A/386/97/tablea1&-c.r=  2&-c.geom=r&-out=PKS&-out=S2.7GHz&S2.7GHz=>1&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=200&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-order=I
#-out.src=J/A+A/386/97/tablea1
#-source=J/A+A/386/97/tablea1
#-order=I
#-out=PKS
#-out=S2.7GHz
#S2.7GHz=>1
#-out=_RA.icrs
#-out=_DE.icrs
#-out.max=200
#-c.eq=J2000
#-c.u=arcmin
#

#RESOURCE=yCat_33860097
#Name: J/A+A/386/97
#Title: The Parkes quarter-Jansky flat-spectrum sample (Jackson+; 2002)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_A_386_97_tablea1:
#Name: J/A+A/386/97/tablea1
#Title: The complete catalogue of the Parkes quarter-Jansky sample (Appendix A)
#Column	PKS	(A9)	PKS (BHHMM-DDD) designation	[ucd=meta.id;meta.main]
#Column	S2.7GHz	(F5.2)	PKSCAT90 Flux density at 2.7GHz	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR; not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR; not part of the original data)	[ucd=pos.eq.dec]
PKS,S2.7GHz,_RA.icrs,_DE.icrs
B1619-680, 1.79,16 24 18.6,-68 09 13
B1622-253, 2.27,16 25 46.9,-25 27 38
B1622-297, 1.60,16 26 06.1,-29 51 27
B1718-649, 4.00,17 23 40.9,-65 00 36
B1730-130, 4.30,17 33 02.8,-13 04 50
B1741-038, 2.02,17 43 58.8,-03 50 05
B1801+010, 1.03,18 04 16.0,+01 01 32
B1815-553, 1.37,18 19 45.4,-55 21 21
B1831-711, 1.32,18 37 28.8,-71 08 41
B1933-400, 1.33,19 37 16.3,-39 58 01
B1936-155, 1.44,19 39 26.7,-15 25 43
B1936-623, 1.30,19 41 21.7,-62 11 20
B1954-388, 2.00,19 57 59.9,-38 45 06
B1958-179, 1.11,20 00 57.1,-17 48 58
B2005-489, 1.06,20 09 25.4,-48 49 53
B2022-077, 1.12,20 25 40.4,-07 35 41
B2052-474, 3.00,20 56 16.4,-47 14 47
B2106-413, 2.11,21 09 33.2,-41 10 20
B2126-158, 1.17,21 29 12.2,-15 38 41
B2128-123, 1.90,21 31 35.3,-12 07 05
B2131-021, 2.31,21 34 10.4,-01 53 17
B2134+004, 8.44,21 36 38.6,+00 41 54
B2142-758, 1.38,21 47 12.6,-75 36 12
B2149-307, 1.32,21 51 55.5,-30 27 53
B2155-152, 1.67,21 58 06.3,-15 01 09
B2203-188, 5.25,22 06 10.4,-18 35 39
B2216-038, 2.21,22 18 52.1,-03 35 37
B2223-052, 4.70,22 25 47.3,-04 57 01
B2226-211, 1.09,22 29 39.8,-20 50 57
B2227-088, 1.49,22 29 40.0,-08 32 55
B2227-399, 1.02,22 30 40.3,-39 42 52
B2240-260, 1.08,22 43 26.4,-25 44 27
B2243-123, 2.74,22 46 18.2,-12 06 51
B2245-328, 2.01,22 48 38.7,-32 35 52
B2255-282, 1.38,22 58 06.0,-27 58 22
B2326-477, 2.48,23 29 17.7,-47 30 19
B2331-240, 1.04,23 33 55.3,-23 43 41
B2333-528, 1.34,23 36 11.8,-52 36 13
B2337-334, 1.36,23 39 54.6,-33 10 17
B2345-167, 4.08,23 48 02.6,-16 31 12
B2351-154, 1.08,23 54 30.2,-15 13 11
B2354-117, 1.57,23 57 31.2,-11 25 39
B2355-534, 1.31,23 57 53.1,-53 11 14

